27 дек. 2022 08:27:14,165  INFO StartLogger - Finalizing navigator elements
27 дек. 2022 08:27:14,166  INFO StartLogger - Setup property policy
27 дек. 2022 08:27:14,166  INFO StartLogger - Setup reset files
27 дек. 2022 08:27:14,169  INFO StartLogger - Initializing indices
27 дек. 2022 08:27:14,169  INFO StartLogger - Finalizing tables
27 дек. 2022 08:27:14,169  INFO StartLogger - Initializing reflection events
27 дек. 2022 08:27:14,220  INFO StartLogger - Setup action policy
27 дек. 2022 08:27:14,220  INFO StartLogger - Showing dependencies
27 дек. 2022 08:27:14,642  INFO StartLogger - Error starting server, server will be stopped.
27 дек. 2022 08:27:14,642  INFO StartLogger - Server is stopping...
27 дек. 2022 08:27:14,642  INFO StartLogger - Logics instance is stopping...
27 дек. 2022 08:27:14,642  INFO StartLogger - Logics instance has stopped...
27 дек. 2022 08:27:14,644  INFO StartLogger - Server has stopped...
27 дек. 2022 08:41:48,233  INFO StartLogger - Server is starting...
27 дек. 2022 08:41:49,351  INFO StartLogger - Logics instance is starting...
27 дек. 2022 08:41:49,396  INFO StartLogger - Initializing BusinessLogics
27 дек. 2022 08:41:49,403  INFO StartLogger - Initializing localizer
27 дек. 2022 08:41:49,404  INFO StartLogger - Initializing string literals data
27 дек. 2022 08:41:49,403  INFO StartLogger - Creating modules
27 дек. 2022 08:41:49,759  INFO StartLogger - Initializing dependencies
27 дек. 2022 08:41:49,912  INFO StartLogger - Initializing modules order
27 дек. 2022 08:41:49,914  INFO StartLogger - Initializing metacodes and classes
27 дек. 2022 08:41:50,374  INFO StartLogger - Initializing object class
27 дек. 2022 08:41:50,380  INFO StartLogger - Initializing tables
27 дек. 2022 08:41:50,465  INFO StartLogger - Initializing class tables
27 дек. 2022 08:41:50,549  INFO StartLogger - Initializing full tables with one key
27 дек. 2022 08:41:50,550  INFO StartLogger - Initializing main logic
27 дек. 2022 08:41:50,561  INFO StartLogger - Initializing main logic for module : #1 of 42 System (actual: 1)
27 дек. 2022 08:41:51,183  INFO StartLogger - Initializing main logic for module : #2 of 42 Integration (actual: 27)
